OBJECTID,ROUTEID,FROMMEASURE,TOMEASURE,ROUTENAME,CORRIDORID,FROMSTREET,TOSTREET,LENGTH_MI,TIER_1,TIER_2,TIER_3,GIS_ID,SE_ANNO_CAD_DATA,GLOBALID,SHAPELEN
1,11000702,0,2956.5021,7TH ST NW,11000702_1,7TH ST SW,FLORIDA AVE NW/GEORGIA AVE NW,1.83708155,0,1,0,HIN_CorridorsLn_1,,{0490A2FC-3954-443C-A50B-0093A2FA2477},0
2,11000902,1384.6342,1478.0614,9TH ST NW,11000902_1,9TH ST SW,Driveway-58015862,2.08259629,0,0,1,HIN_CorridorsLn_2,,{562C4FE2-E89C-4CF1-9B85-7B1C005F7C52},0
3,11001402,1750.1625,6571.9809,14TH ST NW,11001402_2,THOMAS CIR NW,IOWA AVE NW,2.99613368,0,1,0,HIN_CorridorsLn_3,,{B2FBCEDB-A36F-4EA6-9892-9D200CBB7400},0
4,11001402,0,1750.1615,14TH ST NW,11001402_1,14TH ST SW,THOMAS CIR NW,1.0874978,0,1,0,HIN_CorridorsLn_4,,{7DE6B57D-3520-4129-B8B5-727EE88DC92D},0
5,11009422,1345.4303,1348.5064,GEORGIA AVE NW,11040042_1,7TH ST NW/FLORIDA AVE NW,CHESAPEAKE ST NW,4.75502569,1,0,0,HIN_CorridorsLn_5,,{48108EFE-C68B-48BC-8301-C757F04D4C7B},0
6,11016382,0,336.6726,BLAIR RD NW,11016382_1,MCDONALD PL NE/NORTH CAPITOL ST BN,17TH ST NW,1.70502047,1,0,0,HIN_CorridorsLn_6,,{000BF036-E005-4A55-A213-994C0183546A},0
7,11025152,137.1898,8065.2481,CONNECTICUT AVE NW,11025152_2,17TH ST NW/K ST NW Service Rd/K ST NW,CHEVY CHASE CIR NW,4.9262578,0,1,0,HIN_CorridorsLn_7,,{BBBE261C-7698-42F1-A39D-C2FE9CBAC635},0
8,11025352,640.7459,3393.6157,CONSTITUTION AVE NW,11025352_2,PENNSYLVANIA AVE NW,INTERSTATE 66   BN,2.07097172,0,0,1,HIN_CorridorsLn_8,,{B7127001-DFAD-439C-8736-3244580559A7},0
9,11025352,0,640.7449,CONSTITUTION AVE NW,11025352_1,CONSTITUTION AVE NE/Driveway-58017012,PENNSYLVANIA AVE NW,0.3981396,0,0,1,HIN_CorridorsLn_9,,{BD99E0B4-6D30-4FDD-BCF5-AC5AEDF2F56D},0
10,11025352A,0,385.0624,CONSTITUTION AVE NW,11025352A_1,23RD ST NW/CONSTITUTION AVE NW,INTERSTATE 66   BN,0.23926621,0,0,1,HIN_CorridorsLn_10,,{CE451824-0245-4F71-928A-292BE203AAEA},0
11,11036722,0,1465.595,FLORIDA AVE NW,11036722_1,FLORIDA AVE NE/NORTH CAPITOL ST BN,U ST NW/9TH ST NW,0.9106768,1,0,0,HIN_CorridorsLn_11,,{6A6ADFBF-F3D8-41DA-BF0C-6BED66F95749},0
12,11040042,0,7652.4874,GEORGIA AVE NW,11040042_1,7TH ST NW/FLORIDA AVE NW,CHESAPEAKE ST NW,4.75502569,1,0,0,HIN_CorridorsLn_12,,{EC730A11-D863-431C-ADCE-E137EE3A837D},0
13,11042442,0,620.699,H ST NW,11042442_1,H ST NE/NORTH CAPITOL ST BN,MASSACHUSETTS AVE NW/4TH ST NW,0.38564594,1,0,0,HIN_CorridorsLn_13,,{30CBEB2E-9C6C-426F-8319-02717C266656},0
14,11050892,1294.8452,4656.276,K ST NW,11050892_3,9TH ST NW,WATER ST NW/WISCONSIN AVE NW,2.08869247,0,0,1,HIN_CorridorsLn_14,,{7638DFCC-C1F5-4277-94DB-3B555D22291C},0
15,11050892,0,1114.9262,K ST NW,11050892_1,K ST NE/NORTH CAPITOL ST BN,7TH ST NW,0.69278167,0,0,1,HIN_CorridorsLn_15,,{4D58014A-EADE-408B-99BC-13625C1B0680},0
16,11050892,1114.9272,1294.8442,K ST NW,11050892_2,7TH ST NW/MASSACHUSETTS AVE NW,9TH ST NW/NEW YORK AVE NW,0.11179562,0,0,1,HIN_CorridorsLn_16,,{58A44BBC-CB4A-4143-B75A-18770FC43B3E},0
17,11057852,1902.9024,5304.7692,M ST NW,11057852_3,THOMAS CIR NW/MASSACHUSETTS AVE NW Service Rd,CANAL RD NW,2.11381846,0,1,0,HIN_CorridorsLn_17,,{898FE3B8-1D1F-4059-91FB-1C4E0380B6A5},0
18,11059602,1228.9688,2381.3822,MASSACHUSETTS AVE NW,11059602_2,MT VERNON PL NW/9TH ST NW,SCOTT CIR NW,0.71607562,0,1,0,HIN_CorridorsLn_18,,{89F92FC5-D304-4251-81F6-FD3884DAF00B},0
19,11059602,0,1228.9678,MASSACHUSETTS AVE NW,11059602_1,MASSACHUSETTS AVE NE/NORTH CAPITOL ST BN,K ST NW/7TH ST NW,0.76364365,0,1,0,HIN_CorridorsLn_19,,{9476AC68-1142-415A-A416-9DC952E5EF5A},0
20,11062592,0,184.2893,MT VERNON PL NW,11062592_1,7TH ST NW/NEW YORK AVE NW,9TH ST NW/MASSACHUSETTS AVE NW,0.11451183,0,1,0,HIN_CorridorsLn_20,,{475809C7-97A3-4B66-BFD9-0ED01599012A},0
21,11064222,894.675,897.0359,M ST NW,11057852_3,THOMAS CIR NW/MASSACHUSETTS AVE NW Service Rd,CANAL RD NW,2.11381846,0,1,0,HIN_CorridorsLn_21,,{98BDD42C-84F4-4FCE-B1EA-3CD960901B07},0
22,11064282,0,2602.472,NEW JERSEY AVE NW,11064282_1,CONSTITUTION AVE NW,FLORIDA AVE NW,1.61891438,0,1,0,HIN_CorridorsLn_22,,{1CE65094-38CE-4038-AE05-4513F4751745},0
23,11064672,0,1219.3288,NEW YORK AVE NW,11064672_1,NEW YORK AVE NE/N ST NE,MT VERNON PL NW/7TH ST NW,0.7576543,1,0,0,HIN_CorridorsLn_23,,{B36DBBD0-736B-4214-B293-F01386D6CDB1},0
24,11069812,352.0024,554.2578,PENNSYLVANIA AVE NW,11069812_1,PEACE MONUMENT CIR NW,15TH ST NW/E ST NW,1.19310251,0,0,1,HIN_CorridorsLn_24,,{D30630DF-B76E-4507-9883-789C805F74C0},0
25,11075462,2454.3143,2857.7355,RHODE ISLAND AVE NW,11075462_3,SCOTT CIR NW,CONNECTICUT AVE NW/M ST NW,0.2506744,0,1,0,HIN_CorridorsLn_25,,{85CE1765-DF37-4DE2-961E-130B0F36F7AB},0
26,11078712,0,187.5684,SCOTT CIR NW,11078712_1,RHODE ISLAND AVE NW,RHODE ISLAND AVE NW,0.11654934,0,1,0,HIN_CorridorsLn_26,,{7F729B11-8A9E-495F-92D9-6E11A6251F84},0
